content_id,publish_date,month,platform,title,url,editor,topic_main,topic_sub,season_keyword,target,format,tone,cta_type,publish_time,views,likes,comments,saves,shares,measure_point,review_note,performance_score,performance_level
HOMEF-0012,2025-01-20,1,홈페이지,대학생을 위한 새해 목표 가이드,https://example.com/univ/home/2025/01/homef-0012,한지우,자기계발,새해 목표,방학,전체,인터뷰,실용형,공유 유도,09:00,307,,1,,1,발행 후 14일,,215,낮음
IGF-0008,2025-01-20,1,인스타그램,대학생이라면 한 번쯤 겪는 생활비 관리 현실 실전편,https://instagram.com/p/igf-0008,박서윤,소비,생활비 관리,방학,자취생,인터뷰,실용형,저장 유도,11:45,"31,872","1,005",126,"1,029",303,발행 후 48시간,,784,높음
HOMEF-0013,2025-01-22,1,홈페이지,대학생 생활에서 자주 흔들리는 새해 목표 포인트,https://example.com/univ/home/2025/01/homef-0013,한지우,자기계발,새해 목표,방학,전체,카드뉴스,실용형,링크 클릭,15:50,123,,2,,0,발행 후 30일,,87,낮음
HOMEF-0014,2025-01-23,1,홈페이지,대학생을 위한 계절학기 마무리 현실 조언,https://example.com/univ/home/2025/01/homef-0014,한지우,대학생활,계절학기 마무리,방학,재학생,기사,실용형,아카이브 이동,14:20,848,,11,,6,발행 후 30일,,596,높음
IGF-0009,2025-01-23,1,인스타그램,대학생을 위한 실전 자격증 계획 노하우,https://instagram.com/p/igf-0009,최예준,취업,자격증 계획,방학,취준생,릴스,정보형,댓글 유도,21:00,"6,014",692,47,367,90,발행 후 72시간,제목/썸네일 보완 여지 있음,410,보통
HOMEF-0015,2025-01-24,1,홈페이지,대학생을 위한 자격증 계획 현실 조언 현실 버전,https://example.com/univ/home/2025/01/homef-0015,김민지,취업,자격증 계획,방학,취준생,기사,실용형,댓글 유도,14:20,479,,4,,18,발행 후 14일,,338,보통
HOMEF-0016,2025-01-25,1,홈페이지,방학에 보는 대학생 생활비 관리 체크리스트,https://example.com/univ/home/2025/01/homef-0016,박서윤,소비,생활비 관리,방학,자취생,기사,공감형,공유 유도,09:00,"1,441",,22,,54,발행 후 30일,,"1,019",높음
IGF-0010,2025-01-25,1,인스타그램,대학생을 위한 실전 계절학기 마무리 노하우 요약본,https://instagram.com/p/igf-0010,박서윤,대학생활,계절학기 마무리,방학,재학생,인터뷰,실용형,공유 유도,13:10,"3,944",168,13,16,29,발행 후 7일,시의성은 맞지만 반응은 낮음,79,보통
IGF-0011,2025-01-25,1,인스타그램,대학생이라면 한 번쯤 겪는 새해 목표 현실,https://instagram.com/p/igf-0011,한지우,자기계발,새해 목표,방학,재학생,릴스,공감형,댓글 유도,13:45,"2,694",151,9,58,18,발행 후 7일,CTA 보완 필요,82,보통
HOMEF-0017,2025-01-26,1,홈페이지,지금 대학생에게 필요한 겨울방학 알바 정리,https://example.com/univ/home/2025/01/homef-0017,김민지,취업,겨울방학 알바,방학,취준생,인터뷰,정보형,공유 유도,09:50,934,,4,,23,발행 후 30일,제목/썸네일 보완 여지 있음,657,높음
IGF-0012,2025-01-27,1,인스타그램,대학생 생활에서 자주 흔들리는 계절학기 마무리 포인트,https://instagram.com/p/igf-0012,한지우,대학생활,계절학기 마무리,방학,전체,카드뉴스,실용형,저장 유도,21:20,"3,135",50,17,61,31,발행 후 7일,시의성은 맞지만 반응은 낮음,46,낮음
IGF-0013,2025-01-27,1,인스타그램,요즘 대학생이 많이 찾는 겨울방학 알바 팁,https://instagram.com/p/igf-0013,김민지,취업,겨울방학 알바,방학,취준생,인터뷰,관찰형,저장 유도,21:30,"25,815","1,502",52,949,393,발행 후 72시간,계절성 주제 반응 우수,969,높음
HOMEF-0018,2025-01-29,1,홈페이지,대학생이라면 한 번쯤 겪는 겨울방학 알바 현실 체크포인트,https://example.com/univ/home/2025/01/homef-0018,정하린,취업,겨울방학 알바,방학,취준생,카드뉴스,관찰형,공유 유도,11:50,"2,520",,44,,64,발행 후 7일,검색 유입형 주제로 재활용 가능,"1,779",높음
HOMEF-0019,2025-01-30,1,홈페이지,요즘 대학생이 많이 찾는 자격증 계획 팁,https://example.com/univ/home/2025/01/homef-0019,이도윤,취업,자격증 계획,방학,취준생,카드뉴스,정보형,댓글 유도,11:30,612,,2,,21,발행 후 30일,안정적인 반응,431,보통
IGF-0014,2025-01-31,1,인스타그램,요즘 대학생이 많이 찾는 새해 목표 팁 입문편,https://instagram.com/p/igf-0014,최예준,자기계발,새해 목표,방학,재학생,피드,공감형,프로필 링크,21:10,"9,495",473,13,208,127,발행 후 7일,,278,보통
IGF-0015,2025-02-01,2,인스타그램,대학생을 위한 실전 새학기 준비물 노하우,https://instagram.com/p/igf-0015,한지우,소비,새학기 준비물,개강,재학생,카드뉴스,가벼운 유머형,공유 유도,11:00,"1,248",158,9,24,32,발행 후 72시간,CTA 보완 필요,78,보통
IGF-0016,2025-02-01,2,인스타그램,개강에 보는 대학생 기숙사 준비 체크리스트 바로 적용편,https://instagram.com/p/igf-0016,이도윤,대학생활,기숙사 준비,개강,자취생,릴스,관찰형,저장 유도,18:45,"3,695",315,36,396,103,발행 후 72시간,,269,보통
HOMEF-0020,2025-02-02,2,홈페이지,대학생 관점에서 다시 본 새내기 적응 실전편,https://example.com/univ/home/2025/02/homef-0020,박서윤,관계,새내기 적응,개강,새내기,카드뉴스,공감형,댓글 유도,17:10,859,,14,,4,발행 후 14일,제목/썸네일 보완 여지 있음,605,높음
IGF-0017,2025-02-02,2,인스타그램,개강에 보는 대학생 통학 루틴 체크리스트 바로 적용편,https://instagram.com/p/igf-0017,김민지,대학생활,통학 루틴,개강,재학생,릴스,실용형,공유 유도,19:05,"8,765",305,42,131,141,발행 후 72시간,시즌 키워드와 맞물린 주제,194,보통
HOMEF-0021,2025-02-03,2,홈페이지,대학생 관점에서 다시 본 통학 루틴,https://example.com/univ/home/2025/02/homef-0021,한지우,대학생활,통학 루틴,개강,전체,기사,실용형,공유 유도,09:40,121,,0,,3,발행 후 14일,,85,낮음
HOMEF-0022,2025-02-04,2,홈페이지,대학생이라면 한 번쯤 겪는 새학기 준비물 현실 실전편,https://example.com/univ/home/2025/02/homef-0022,정하린,소비,새학기 준비물,개강,재학생,기사,실용형,공유 유도,10:10,"2,506",,34,,18,발행 후 30일,초반 반응이 빠르게 올라감,"1,763",높음
HOMEF-0023,2025-02-04,2,홈페이지,대학생을 위한 통학 루틴 현실 조언 실전편,https://example.com/univ/home/2025/02/homef-0023,이도윤,대학생활,통학 루틴,개강,전체,기사,공감형,아카이브 이동,15:10,841,,5,,19,발행 후 30일,시즌 키워드와 맞물린 주제,592,높음
IGF-0018,2025-02-05,2,인스타그램,대학생이 시간표 짜기 할 때 놓치기 쉬운 것들 바로 적용편,https://instagram.com/p/igf-0018,한지우,자기계발,시간표 짜기,개강,재학생,카드뉴스,가벼운 유머형,공유 유도,13:00,"14,712","1,076",92,997,492,발행 후 7일,시즌 키워드와 맞물린 주제,837,높음
HOMEF-0024,2025-02-06,2,홈페이지,대학생이 새내기 적응 할 때 놓치기 쉬운 것들,https://example.com/univ/home/2025/02/homef-0024,이도윤,관계,새내기 적응,개강,새내기,인터뷰,관찰형,공유 유도,10:40,361,,3,,9,발행 후 14일,시의성은 맞지만 반응은 낮음,254,낮음
IGF-0019,2025-02-07,2,인스타그램,대학생이라면 한 번쯤 겪는 수강신청 현실 바로 적용편,https://instagram.com/p/igf-0019,최예준,대학생활,수강신청,개강,전체,카드뉴스,실용형,댓글 유도,12:00,"29,078","1,600",46,878,261,발행 후 72시간,계절성 주제 반응 우수,960,높음
HOMEF-0025,2025-02-10,2,홈페이지,대학생을 위한 실전 기숙사 준비 노하우,https://example.com/univ/home/2025/02/homef-0025,이도윤,대학생활,기숙사 준비,개강,자취생,기사,실용형,링크 클릭,15:20,223,,0,,5,발행 후 14일,후킹 포인트가 약한 편,157,낮음
HOMEF-0026,2025-02-11,2,홈페이지,대학생이라면 한 번쯤 겪는 새내기 적응 현실,https://example.com/univ/home/2025/02/homef-0026,박서윤,관계,새내기 적응,개강,새내기,기사,공감형,링크 클릭,09:00,771,,10,,5,발행 후 30일,안정적인 반응,542,높음
HOMEF-0027,2025-02-12,2,홈페이지,대학생이라면 한 번쯤 겪는 수강신청 현실 한눈에 보기,https://example.com/univ/home/2025/02/homef-0027,최예준,대학생활,수강신청,개강,재학생,기사,실용형,링크 클릭,10:10,782,,8,,22,발행 후 7일,주제 적합도는 높지만 확산력은 보통,551,높음
HOMEF-0028,2025-02-12,2,홈페이지,대학생 관점에서 다시 본 수강신청 한눈에 보기,https://example.com/univ/home/2025/02/homef-0028,박서윤,대학생활,수강신청,개강,재학생,카드뉴스,공감형,공유 유도,15:10,"1,082",,47,,59,발행 후 7일,,773,높음
HOMEF-0029,2025-02-13,2,홈페이지,대학생 관점에서 다시 본 새학기 준비물,https://example.com/univ/home/2025/02/homef-0029,이도윤,소비,새학기 준비물,개강,재학생,인터뷰,실용형,공유 유도,10:00,818,,11,,19,발행 후 30일,안정적인 반응,577,높음
HOMEF-0030,2025-02-13,2,홈페이지,대학생 관점에서 다시 본 수강신청 입문편,https://example.com/univ/home/2025/02/homef-0030,이도윤,대학생활,수강신청,개강,재학생,기사,정보형,링크 클릭,17:10,404,,5,,8,발행 후 30일,,285,보통
HOMEF-0031,2025-02-14,2,홈페이지,대학생을 위한 시간표 짜기 가이드 한눈에 보기,https://example.com/univ/home/2025/02/homef-0031,김민지,자기계발,시간표 짜기,개강,재학생,인터뷰,공감형,링크 클릭,10:00,"1,709",,55,,46,발행 후 30일,시즌 키워드와 맞물린 주제,"1,212",높음
HOMEF-0032,2025-02-14,2,홈페이지,개강에 보는 대학생 시간표 짜기 체크리스트 바로 적용편,https://example.com/univ/home/2025/02/homef-0032,김민지,자기계발,시간표 짜기,개강,재학생,기사,정보형,링크 클릭,15:40,923,,18,,23,발행 후 14일,제목/썸네일 보완 여지 있음,652,높음
HOMEF-0033,2025-02-15,2,홈페이지,대학생 관점에서 다시 본 수강신청,https://example.com/univ/home/2025/02/homef-0033,한지우,대학생활,수강신청,개강,전체,인터뷰,실용형,링크 클릭,11:00,771,,7,,8,발행 후 14일,안정적인 반응,542,높음
IGF-0020,2025-02-16,2,인스타그램,대학생 관점에서 다시 본 통학 루틴 요약본,https://instagram.com/p/igf-0020,정하린,대학생활,통학 루틴,개강,전체,릴스,실용형,저장 유도,11:15,"21,072","1,103",64,546,168,발행 후 48시간,시즌 키워드와 맞물린 주제,645,높음
HOMEF-0034,2025-02-16,2,홈페이지,대학생 관점에서 다시 본 시간표 짜기 바로 적용편,https://example.com/univ/home/2025/02/homef-0034,이도윤,자기계발,시간표 짜기,개강,재학생,기사,공감형,링크 클릭,15:40,809,,12,,22,발행 후 30일,,571,높음
HOMEF-0035,2025-02-18,2,홈페이지,대학생 생활에서 자주 흔들리는 통학 루틴 포인트,https://example.com/univ/home/2025/02/homef-0035,최예준,대학생활,통학 루틴,개강,재학생,기사,공감형,공유 유도,17:50,"2,536",,37,,22,발행 후 14일,시즌 키워드와 맞물린 주제,"1,785",높음
IGF-0021,2025-02-18,2,인스타그램,개강에 보는 대학생 시간표 짜기 체크리스트 현실 버전,https://instagram.com/p/igf-0021,박서윤,자기계발,시간표 짜기,개강,재학생,릴스,실용형,저장 유도,18:05,"22,693","1,759",137,952,485,발행 후 72시간,계절성 주제 반응 우수,"1,100",높음
IGF-0022,2025-02-19,2,인스타그램,대학생이 시간표 짜기 할 때 놓치기 쉬운 것들 체크포인트,https://instagram.com/p/igf-0022,한지우,자기계발,시간표 짜기,개강,재학생,피드,공감형,프로필 링크,11:45,"4,112",234,0,9,8,발행 후 48시간,시의성은 맞지만 반응은 낮음,98,보통
IGF-0023,2025-02-19,2,인스타그램,대학생이라면 한 번쯤 겪는 수강신청 현실 공감 포인트,https://instagram.com/p/igf-0023,한지우,대학생활,수강신청,개강,재학생,카드뉴스,실용형,공유 유도,13:20,"3,222",231,4,53,34,발행 후 72시간,,116,보통
HOMEF-0036,2025-02-20,2,홈페이지,대학생을 위한 수강신청 현실 조언 한눈에 보기,https://example.com/univ/home/2025/02/homef-0036,이도윤,대학생활,수강신청,개강,재학생,카드뉴스,실용형,댓글 유도,17:20,913,,10,,22,발행 후 14일,,643,높음
IGF-0024,2025-02-20,2,인스타그램,대학생이라면 한 번쯤 겪는 새학기 준비물 현실,https://instagram.com/p/igf-0024,한지우,소비,새학기 준비물,개강,재학생,카드뉴스,공감형,댓글 유도,21:10,"31,338","1,994",45,"1,036",282,발행 후 7일,계절성 주제 반응 우수,"1,169",높음
HOMEF-0037,2025-02-25,2,홈페이지,대학생 생활에서 자주 흔들리는 새내기 적응 포인트 입문편,https://example.com/univ/home/2025/02/homef-0037,정하린,관계,새내기 적응,개강,새내기,기사,공감형,공유 유도,09:20,184,,4,,2,발행 후 14일,,130,낮음
HOMEF-0038,2025-02-26,2,홈페이지,대학생 생활에서 자주 흔들리는 수강신청 포인트,https://example.com/univ/home/2025/02/homef-0038,김민지,대학생활,수강신청,개강,재학생,기사,정보형,아카이브 이동,14:50,315,,6,,2,발행 후 7일,CTA 보완 필요,222,낮음
HOMEF-0039,2025-02-27,2,홈페이지,대학생을 위한 실전 수강신청 노하우,https://example.com/univ/home/2025/02/homef-0039,김민지,대학생활,수강신청,개강,재학생,카드뉴스,실용형,아카이브 이동,17:30,"1,547",,39,,32,발행 후 30일,계절성 주제 반응 우수,"1,094",높음
HOMEF-0040,2025-03-02,3,홈페이지,대학생을 위한 친구 만들기 가이드 실전편,https://example.com/univ/home/2025/03/homef-0040,김민지,관계,친구 만들기,신입생 적응,새내기,카드뉴스,관찰형,링크 클릭,17:00,369,,6,,2,발행 후 7일,,260,낮음
HOMEF-0041,2025-03-02,3,홈페이지,대학생이 동아리 할 때 놓치기 쉬운 것들 바로 적용편,https://example.com/univ/home/2025/03/homef-0041,박서윤,대학생활,동아리,신입생 적응,전체,인터뷰,실용형,링크 클릭,17:50,"1,339",,51,,56,발행 후 30일,,953,높음
IGF-0025,2025-03-05,3,인스타그램,대학생이라면 한 번쯤 겪는 개강 적응 현실 실전편,https://instagram.com/p/igf-0025,정하린,대학생활,개강 적응,신입생 적응,전체,릴스,관찰형,댓글 유도,21:15,"6,332",762,37,297,92,발행 후 72시간,,416,보통
IGF-0026,2025-03-06,3,인스타그램,대학생을 위한 실전 팀플 노하우,https://instagram.com/p/igf-0026,최예준,관계,팀플,신입생 적응,전체,릴스,가벼운 유머형,공유 유도,12:30,"19,125","1,667",113,846,168,발행 후 7일,짧은 영상 문법과 잘 맞는 주제,966,높음
HOMEF-0042,2025-03-08,3,홈페이지,대학생을 위한 통학 피로 가이드,https://example.com/univ/home/2025/03/homef-0042,최예준,대학생활,통학 피로,신입생 적응,재학생,기사,실용형,아카이브 이동,10:40,209,,3,,5,발행 후 30일,CTA 보완 필요,147,낮음
HOMEF-0043,2025-03-09,3,홈페이지,대학생이 팀플 할 때 놓치기 쉬운 것들,https://example.com/univ/home/2025/03/homef-0043,최예준,관계,팀플,신입생 적응,재학생,카드뉴스,관찰형,공유 유도,14:00,718,,10,,12,발행 후 7일,,506,보통
IGF-0027,2025-03-09,3,인스타그램,대학생이라면 한 번쯤 겪는 캠퍼스 길찾기 현실 요약본,https://instagram.com/p/igf-0027,한지우,캠퍼스 이슈,캠퍼스 길찾기,신입생 적응,새내기,릴스,가벼운 유머형,댓글 유도,20:45,"10,358",619,39,82,87,발행 후 72시간,주제 적합도는 높지만 확산력은 보통,294,보통
HOMEF-0044,2025-03-10,3,홈페이지,대학생이 친구 만들기 할 때 놓치기 쉬운 것들,https://example.com/univ/home/2025/03/homef-0044,박서윤,관계,친구 만들기,신입생 적응,새내기,기사,공감형,댓글 유도,10:40,"2,341",,12,,57,발행 후 7일,계절성 주제 반응 우수,"1,647",높음
HOMEF-0045,2025-03-10,3,홈페이지,대학생이라면 한 번쯤 겪는 캠퍼스 길찾기 현실,https://example.com/univ/home/2025/03/homef-0045,이도윤,캠퍼스 이슈,캠퍼스 길찾기,신입생 적응,새내기,기사,정보형,아카이브 이동,10:40,"1,060",,52,,51,발행 후 7일,초반 반응이 빠르게 올라감,758,높음
IGF-0028,2025-03-16,3,인스타그램,대학생이라면 한 번쯤 겪는 통학 피로 현실,https://instagram.com/p/igf-0028,정하린,대학생활,통학 피로,신입생 적응,재학생,릴스,가벼운 유머형,댓글 유도,12:20,"3,044",211,16,15,6,발행 후 72시간,짧은 영상 문법과 잘 맞는 주제,92,보통
HOMEF-0046,2025-03-18,3,홈페이지,대학생을 위한 통학 피로 가이드 요약본,https://example.com/univ/home/2025/03/homef-0046,한지우,대학생활,통학 피로,신입생 적응,전체,기사,정보형,댓글 유도,09:40,642,,7,,7,발행 후 30일,제목/썸네일 보완 여지 있음,452,보통
HOMEF-0047,2025-03-18,3,홈페이지,신입생 적응에 보는 대학생 통학 피로 체크리스트 바로 적용편,https://example.com/univ/home/2025/03/homef-0047,한지우,대학생활,통학 피로,신입생 적응,전체,기사,공감형,공유 유도,14:10,"2,677",,21,,68,발행 후 30일,계절성 주제 반응 우수,"1,885",높음
IGF-0029,2025-03-18,3,인스타그램,대학생 생활에서 자주 흔들리는 개강 적응 포인트,https://instagram.com/p/igf-0029,최예준,대학생활,개강 적응,신입생 적응,전체,피드,가벼운 유머형,저장 유도,19:00,"10,713",737,27,389,54,발행 후 48시간,주제 적합도는 높지만 확산력은 보통,425,보통
IGF-0030,2025-03-18,3,인스타그램,대학생을 위한 캠퍼스 길찾기 가이드,https://instagram.com/p/igf-0030,정하린,캠퍼스 이슈,캠퍼스 길찾기,신입생 적응,새내기,카드뉴스,공감형,프로필 링크,20:05,"15,009","1,089",85,687,232,발행 후 7일,,697,높음
IGF-0031,2025-03-19,3,인스타그램,지금 대학생에게 필요한 통학 피로 정리,https://instagram.com/p/igf-0031,정하린,대학생활,통학 피로,신입생 적응,재학생,피드,가벼운 유머형,댓글 유도,18:00,"4,746",669,10,147,40,발행 후 7일,,321,보통
HOMEF-0048,2025-03-21,3,홈페이지,신입생 적응에 보는 대학생 동아리 체크리스트,https://example.com/univ/home/2025/03/homef-0048,최예준,대학생활,동아리,신입생 적응,전체,기사,실용형,링크 클릭,15:10,"2,017",,12,,64,발행 후 30일,계절성 주제 반응 우수,"1,421",높음
IGF-0032,2025-03-22,3,인스타그램,대학생을 위한 캠퍼스 길찾기 현실 조언,https://instagram.com/p/igf-0032,박서윤,캠퍼스 이슈,캠퍼스 길찾기,신입생 적응,새내기,카드뉴스,실용형,댓글 유도,12:05,"3,728",216,14,62,39,발행 후 48시간,CTA 보완 필요,114,보통
IGF-0033,2025-03-22,3,인스타그램,대학생이라면 한 번쯤 겪는 팀플 현실 현실 버전,https://instagram.com/p/igf-0033,김민지,관계,팀플,신입생 적응,재학생,피드,공감형,공유 유도,19:15,"22,141","1,225",100,448,308,발행 후 48시간,,696,높음
HOMEF-0049,2025-03-25,3,홈페이지,대학생이 친구 만들기 할 때 놓치기 쉬운 것들 공감 포인트,https://example.com/univ/home/2025/03/homef-0049,한지우,관계,친구 만들기,신입생 적응,새내기,기사,가벼운 유머형,아카이브 이동,10:10,722,,16,,13,발행 후 14일,주제 적합도는 높지만 확산력은 보통,510,보통
IGF-0034,2025-03-25,3,인스타그램,신입생 적응에 보는 대학생 친구 만들기 체크리스트,https://instagram.com/p/igf-0034,이도윤,관계,친구 만들기,신입생 적응,새내기,카드뉴스,관찰형,댓글 유도,12:45,"12,364",605,24,174,39,발행 후 7일,,304,보통
IGF-0035,2025-03-25,3,인스타그램,대학생 관점에서 다시 본 통학 피로,https://instagram.com/p/igf-0035,정하린,대학생활,통학 피로,신입생 적응,전체,인터뷰,공감형,저장 유도,12:45,705,235,14,7,33,발행 후 72시간,후킹 포인트가 약한 편,104,보통
HOMEF-0050,2025-03-25,3,홈페이지,대학생 생활에서 자주 흔들리는 개강 적응 포인트,https://example.com/univ/home/2025/03/homef-0050,최예준,대학생활,개강 적응,신입생 적응,재학생,기사,공감형,공유 유도,14:30,"2,621",,29,,55,발행 후 7일,초반 반응이 빠르게 올라감,"1,846",높음
HOMEF-0051,2025-03-25,3,홈페이지,신입생 적응에 보는 대학생 통학 피로 체크리스트 현실 버전,https://example.com/univ/home/2025/03/homef-0051,박서윤,대학생활,통학 피로,신입생 적응,재학생,기사,실용형,링크 클릭,17:40,781,,5,,23,발행 후 7일,제목/썸네일 보완 여지 있음,550,높음
HOMEF-0052,2025-03-25,3,홈페이지,대학생을 위한 동아리 현실 조언 요약본,https://example.com/univ/home/2025/03/homef-0052,최예준,대학생활,동아리,신입생 적응,전체,기사,정보형,아카이브 이동,17:50,"2,295",,31,,32,발행 후 7일,저장/공유 유도가 잘 먹힘,"1,616",높음
HOMEF-0053,2025-03-27,3,홈페이지,대학생을 위한 팀플 가이드 공감 포인트,https://example.com/univ/home/2025/03/homef-0053,김민지,관계,팀플,신입생 적응,재학생,기사,관찰형,공유 유도,15:40,"1,953",,33,,30,발행 후 7일,저장/공유 유도가 잘 먹힘,"1,377",높음
HOMEF-0054,2025-03-27,3,홈페이지,대학생 생활에서 자주 흔들리는 친구 만들기 포인트 요약본,https://example.com/univ/home/2025/03/homef-0054,최예준,관계,친구 만들기,신입생 적응,새내기,기사,가벼운 유머형,링크 클릭,17:50,"1,774",,15,,27,발행 후 30일,,"1,248",높음
IGF-0036,2025-03-27,3,인스타그램,대학생을 위한 캠퍼스 길찾기 가이드 공감 포인트,https://instagram.com/p/igf-0036,정하린,캠퍼스 이슈,캠퍼스 길찾기,신입생 적응,새내기,카드뉴스,공감형,프로필 링크,19:05,"25,817","1,451",61,983,397,발행 후 7일,계절성 주제 반응 우수,961,높음
IGF-0037,2025-03-27,3,인스타그램,지금 대학생에게 필요한 캠퍼스 길찾기 정리 실전편,https://instagram.com/p/igf-0037,정하린,캠퍼스 이슈,캠퍼스 길찾기,신입생 적응,새내기,릴스,가벼운 유머형,저장 유도,19:05,"20,938","1,804",45,981,232,발행 후 7일,저장/공유 유도가 잘 먹힘,"1,067",높음
IGF-0038,2025-03-28,3,인스타그램,대학생이 캠퍼스 길찾기 할 때 놓치기 쉬운 것들,https://instagram.com/p/igf-0038,최예준,캠퍼스 이슈,캠퍼스 길찾기,신입생 적응,새내기,카드뉴스,관찰형,공유 유도,13:15,"12,028",694,48,369,104,발행 후 48시간,,414,보통
